"Story","Title","Result","Date","Stability","Duration (s)"
"Consumir Api","Consultar Informacion","SUCCESS","2020-03-29T17:00:51.351-05:00[America/Bogota]","0.0","6.58"
"Agregar compra al carrito","Compra Satisfactoria","SUCCESS","2020-03-29T17:01:01.336-05:00[America/Bogota]","0.0","34.01"
